sentence,labels,scores,ESG
"going forward, we plan to measure the ghg footprint for our corporate operations each year, along with the progress toward our reduction targets.","['emissions', 'pollution', 'corporate compliance', 'natural resources', 'health and safety', 'transparancy', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.24707065558481475, 0.22895820354130356, 0.1832622849656495, 0.1770811979093393, 0.07361955436246988, 0.04015428126013624, 0.026201390809871574, 0.016818685271740783, 0.0060608502652868285, 0.0007728960293876118]","['E', 'E', 'G', 'E', 'S', 'G', 'G', 'S', 'S', 'S']"
the following chart outlines our greenhouse gas emissions by scope over the past three years   (2019 to 2021).,"['emissions', 'pollution', 'transparancy', 'natural resources', 'corporate compliance', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.5033644933835832, 0.48880586683257704, 0.004680579558120474, 0.0010154416852439956, 0.0009210519578193623, 0.0007687277825989457, 0.00017677570026248846, 0.00014270728960780993, 8.732587410931277e-05, 3.702993607733234e-05]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
"corporate ghg emissions by scope (2019-2021) ghg emissions unit 2019 20203 2021 scope 1 direct emissions from stationary combustion (natural gas) mtco2e 815 844 807 scope 2 indirect emissions from purchased electricity (market-based) mtco2e 6,358 5,2392 0 scope 34  (absolute) indirect emissions that  are calculated throughout the upstream and downstream value chain mtco2e 387,785 209,926 254,867 total mtco2e 394, 958 216,009 255,674 scope 3 (emissions intensity) mtco2e/$1m gross profit5 108 84 53 3 2020 was an anomaly: total emissions were 45.3 percent lower than 2019 as a result of covid-19-driven reductions such as lower spending with suppliers, employee business travel and commuting.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.3073069876033706, 0.2618446486697056, 0.1875901754409335, 0.08547643569142004, 0.062351371117205616, 0.04506780828875456, 0.043947516812937716, 0.004741957346513295, 0.0008993900866796841, 0.0007737089424793901]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"4 airbnbs scope 3 emissions measurement includes the following categories defined by the ghg protocol: 3.1 purchased goods  and services, 3.2 capital goods, 3.3 fuel- and energy-related activities (not included in scope 1 and scope 2), 3.5 waste generated in operations, 3.6 business travel, 3.7 employee commuting, and 3.8 upstream leased assets.","['emissions', 'pollution', 'natural resources', 'transparancy', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'health and safety', 'philanthropy', 'training and education']","[0.464245192173988, 0.4283587950519955, 0.030515109791885056, 0.021487028071097716, 0.01831822743504797, 0.017391235171001225, 0.01570109647126629, 0.0033043841713202658, 0.0005220959143218262, 0.00015683574807610274]","['E', 'E', 'E', 'G', 'S', 'G', 'G', 'S', 'S', 'S']"
5 scope 3 emissions intensity measured using the economic intensity method as set by sbtis greenhouse gas emissions per  value added (geva).,"['emissions', 'pollution', 'natural resources', 'transparancy', 'board accountability', 'corporate compliance', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.50255712021289, 0.47055591217451886, 0.009486493461719704, 0.005676437432879889, 0.0051712154203685905, 0.003963505149588988, 0.0015638671046230557, 0.0005679915109143232, 0.00028130277419898073, 0.00017615475829758765]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"sbti provides that the term value added can be defined as gross profit, operating profit, revenue minus the cost of purchased goods and services, or earnings before interest, taxes, depreciation, and amortization (ebitda) plus all personnel costs.","['corporate compliance', 'diversity and inclusion', 'board accountability', 'transparancy', 'natural resources', 'emissions', 'pollution', 'philanthropy', 'health and safety', 'training and education']","[0.5005069249075467, 0.17950481016122802, 0.16187409984513731, 0.041832812568233325, 0.04017737895768258, 0.022372652489617832, 0.02236179629440312, 0.014830271235629128, 0.00854962834009422, 0.00798962520042783]","['G', 'S', 'G', 'G', 'E', 'E', 'E', 'S', 'S', 'S']"
gross profit for purposes of airbnbs emissions intensity measurement is calculated as revenue minus cost of revenue.,"['emissions', 'pollution', 'natural resources', 'health and safety', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.4615436783591518, 0.4045186124549478, 0.09206772700614829, 0.010128670141060107, 0.010086011949104443, 0.007770506737046476, 0.007654962299535472, 0.005578446496248798, 0.00039458906273354003, 0.0002567954940232962]","['E', 'E', 'E', 'S', 'G', 'G', 'G', 'S', 'S', 'S']"
4 summary   our scope 1 emissions did not change significantly between 2019 and 2021.,"['emissions', 'pollution', 'transparancy', 'corporate compliance', 'natural resources', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3731510702889527, 0.34139309901603365, 0.12888583576065657, 0.07381441418892329, 0.06043729483411453, 0.010005352685670111, 0.00828869812817748, 0.002498517749043188, 0.0008917363512818094, 0.0006339809971466466]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
"we reduced our scope 2 emissions by 100 percent from 2019 due to our purchase of renewable energy to match our global corporate electricity use for 2021.2   our scope 3 (absolute) emissions declined by 34.3 percent from 2019 to 2021, driven by a mix of overall cost management, pandemic-related reductions in spending, and reduced business travel and employee-related emissions driven by the move to hybrid and remote work.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.3618285013799857, 0.3034224907682634, 0.19145625776078895, 0.08029835738697629, 0.02627338220413533, 0.021889355790600373, 0.008197521466337019, 0.005468186032586154, 0.0008393054492927734, 0.0003266417610340516]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"as we work toward our net zero goal, our target for scope 3 corporate emissions is to reduce our emissions intensity in line with sbti guidelines.","['emissions', 'corporate compliance', 'pollution', 'board accountability', 'natural resources', 'transparancy', 'diversity and inclusion', 'health and safety', 'training and education', 'philanthropy']","[0.30042982451848593, 0.2686122374640982, 0.2561568169603287, 0.06926281911630783, 0.0502839242340605, 0.03570723054184252, 0.008672514773335898, 0.008468704819946661, 0.0013552222620197597, 0.0010507053095740243]","['E', 'G', 'E', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
a detailed view of airbnbs emissions breakdown is available in appendix a.6 6 we engaged an external third party to provide limited assurance over certain metrics disclosed.,"['emissions', 'pollution', 'natural resources', 'board accountability', 'corporate compliance', 'transparancy', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.4148034538317026, 0.3650581781528374, 0.06257227106341288, 0.04303925016095265, 0.04016789473434374, 0.03409229150304878, 0.02912660533608074, 0.008626899787948282, 0.0019593838050447746, 0.0005537716246281143]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
their report is available here.,"['natural resources', 'diversity and inclusion', 'corporate compliance', 'transparancy', 'training and education', 'health and safety', 'board accountability', 'emissions', 'pollution', 'philanthropy', 'natural resources', 'diversity and inclusion', 'corporate compliance', 'transparancy', 'training and education', 'health and safety', 'board accountability', 'emissions', 'pollution', 'philanthropy']","[0.09855919163099532, 0.07766193553008291, 0.07212576406128697, 0.05828352712277568, 0.04316957385166007, 0.041364245763335236, 0.03928648020114859, 0.03658439619478252, 0.023176960788722768, 0.009787924855209941, 0.09855919163099532, 0.07766193553008291, 0.07212576406128697, 0.05828352712277568, 0.04316957385166007, 0.041364245763335236, 0.03928648020114859, 0.03658439619478252, 0.023176960788722768, 0.009787924855209941]","['E', 'S', 'G', 'G', 'S', 'S', 'G', 'E', 'E', 'S', 'E', 'S', 'G', 'G', 'S', 'S', 'G', 'E', 'E', 'S']"
"https://investors.airbnb.com/pwc-assurance-report 5 reducing our corporate emissions as part of our net zero goal while were proud of the progress we have made to date, we know there is much more work to be done.","['emissions', 'pollution', 'transparancy', 'corporate compliance', 'natural resources', 'board accountability', 'diversity and inclusion', 'health and safety', 'training and education', 'philanthropy']","[0.36007361327802745, 0.34150079881110795, 0.10557678617522476, 0.09284125284699896, 0.06365814414250122, 0.011703978445377898, 0.008648795239760842, 0.007535897963855685, 0.004657793468538644, 0.003802939628606597]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
we have developed ghg emissions reduction targets for all scopes of emissions associated with our  global corporate operations.,"['emissions', 'pollution', 'corporate compliance', 'natural resources', 'transparancy', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3126472604425041, 0.29083130537764934, 0.26590981775797135, 0.05432885673098615, 0.04560828882732969, 0.012253367261755563, 0.010534407019338997, 0.006535381915884082, 0.0010227403601731774, 0.00032857430640753334]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
"these targets have been approved by the science based targets initiative (sbti)  the lead partner of the business ambition for 1.5c campaign.7 by 2030, we are committing to reducing our corporate emissions as follows from our 2019 baseline year:   reducing scope 1 and 2 (absolute) emissions by 78.4 percent.","['emissions', 'pollution', 'corporate compliance', 'board accountability', 'natural resources', 'transparancy', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.27299023202131006, 0.2607434383870855, 0.24340296652689888, 0.08274693816790926, 0.07702122988569074, 0.0400805503454017, 0.01157460090064657, 0.009729008220810334, 0.0010828891491307757, 0.0006281463951161357]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
reducing scope 3 emissions intensity (mtco2e/$1m gross profit) by 55 percent.,"['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3392768389112734, 0.30493270911874404, 0.20793037699582712, 0.09042195619619181, 0.037450861964951454, 0.012442648784777832, 0.003235299955660979, 0.0024821283294355952, 0.001567958534254457, 0.00025922120888329994]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
our targets help define our emissions reduction efforts on our path to net zero.,"['emissions', 'pollution', 'corporate compliance', 'board accountability', 'transparancy', 'natural resources', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.4769338098853607, 0.4186549868215905, 0.052341174649713995, 0.020790411769303702, 0.01834126647466052, 0.011038436665624981, 0.0010672994134356144, 0.0005068291440013269, 0.0002604473162528505, 6.533786005572499e-05]","['E', 'E', 'G', 'G', 'G', 'E', 'S', 'S', 'S', 'S']"
more information about  the steps we are taking toward these targets is below.,"['diversity and inclusion', 'corporate compliance', 'board accountability', 'emissions', 'training and education', 'health and safety', 'philanthropy', 'natural resources', 'transparancy', 'pollution']","[0.26880525564971625, 0.19761602599021896, 0.14908776779319435, 0.1413676924953484, 0.09693805679017993, 0.04577701858630814, 0.03908810602385088, 0.033853165395858156, 0.01717771548065012, 0.010289195794674784]","['S', 'G', 'G', 'E', 'S', 'S', 'S', 'E', 'G', 'E']"
"scope 1 and 2 emissions we are matching our office electricity use with 100 percent renewable energy purchases, allowing us to meet  and exceed  our scope 1 and 2 science based targets.","['emissions', 'pollution', 'corporate compliance', 'board accountability', 'natural resources', 'transparancy', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.25984336167108313, 0.24545355482920603, 0.2232253294486642, 0.12948308960301985, 0.08693017968906562, 0.04997434550374202, 0.002594882130365914, 0.0014052876550194472, 0.0009462626530749661, 0.0001437068167588242]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
"as a member of the re100, a global corporate renewable energy initiative bringing together businesses committed to 100 percent renewable electricity, we plan to continue sourcing renewable energy according to re100 standards, and, further, to look for opportunities to transition to more direct sources of renewable energy.8 we also plan to take additional steps to continue reducing these emissions, including:   improving office energy data collection to help our teams identify energy efficiency opportunities.","['emissions', 'pollution', 'corporate compliance', 'transparancy', 'natural resources', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.2807421209425605, 0.23604003246805091, 0.22515284472354996, 0.11097779246139082, 0.0672424354980568, 0.047590269602499985, 0.019166381446606047, 0.00466643746105822, 0.004313078580606318, 0.0041086068156204365]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
"conducting a detailed building sustainability review for our san francisco headquarters, beginning this year.","['corporate compliance', 'transparancy', 'emissions', 'natural resources', 'board accountability', 'health and safety', 'pollution', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.5044976836627934, 0.21840958341598402, 0.09840235974037714, 0.05630107822173526, 0.05090481692968188, 0.041148025579469553, 0.014034830678472365, 0.010828302610202907, 0.004173304579189629, 0.0013000145820938759]","['G', 'G', 'E', 'E', 'G', 'S', 'E', 'S', 'S', 'S']"
"refining our office sustainability guidelines to identify further emissions reduction opportunities in our buildings, and the materials used to create them.","['emissions', 'pollution', 'corporate compliance', 'transparancy', 'board accountability', 'natural resources', 'philanthropy', 'diversity and inclusion', 'health and safety', 'training and education']","[0.42940411484164814, 0.28906124688050133, 0.19429208649080837, 0.05720282524959497, 0.014794609957842217, 0.012977233638009282, 0.0007584543812694554, 0.0006758274096079751, 0.0005888880350324709, 0.00024471311568581734]","['E', 'E', 'G', 'G', 'G', 'E', 'S', 'S', 'S', 'S']"
7 airbnbs emissions reduction targets have been approved by the science based targets initiative (sbti) as consistent with   levels required to meet the goals of the paris agreement.,"['emissions', 'pollution', 'board accountability', 'transparancy', 'corporate compliance', 'health and safety', 'natural resources', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.39445238882748673, 0.38376992284303507, 0.08896987270806195, 0.06302206788235654, 0.029486747844959225, 0.021729228145159263, 0.00918416656158979, 0.008622858359328371, 0.0005984686474098269, 0.00016427818061324123]","['E', 'E', 'G', 'G', 'G', 'S', 'E', 'S', 'S', 'S']"
"according to sbti, the targets covering greenhouse gas emissions from airbnbs operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5c, what the latest climate science has told us is needed to prevent the most damaging effects of climate change.","['emissions', 'pollution', 'corporate compliance', 'transparancy', 'board accountability', 'natural resources', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3879874498210118, 0.36920712128410665, 0.09220697744720084, 0.07399516423327035, 0.05536693369261345, 0.010042192399834494, 0.005084300897916338, 0.004881523165353287, 0.0008790300434250303, 0.00034930701526772473]","['E', 'E', 'G', 'G', 'G', 'E', 'S', 'S', 'S', 'S']"
"airbnbs target for the emissions from our value chain (scope 3 for corporate operations) meet the sbtis criteria for ambitious value chain goals, meaning they are in line with current best practice.","['emissions', 'pollution', 'corporate compliance', 'transparancy', 'natural resources', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.2985356716032397, 0.2813863176438725, 0.24149688798856866, 0.1137398704641563, 0.03485610683223282, 0.023597510707795463, 0.00394895078283589, 0.0019586038785255524, 0.00044310621541880266, 3.697388335426645e-05]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
"8 as noted in footnote 2, we matched our global corporate electricity use with renewable energy for 2020 and 2021 by   purchasing energy attribute certificates (i.e., renewable energy certificates, guarantees of origin, or similar instruments) sufficient to match 100 percent of our global electricity use for our corporate operations for those years.","['corporate compliance', 'emissions', 'natural resources', 'transparancy', 'diversity and inclusion', 'board accountability', 'pollution', 'health and safety', 'philanthropy', 'training and education']","[0.30491178571974503, 0.23800655590296327, 0.18225511811463027, 0.10819863309199905, 0.05940568347976273, 0.051513030847667, 0.04524823976948384, 0.0061301051560928715, 0.003723163009024394, 0.0006076849086315746]","['G', 'E', 'E', 'G', 'S', 'G', 'E', 'S', 'S', 'S']"
"specifically with regard to the re100 technical criteria, for 2020, the renewable energy we sourced was approximately 88 percent compliant (as we were unable to source renewable energy locally in certain markets due to lack of availability and low volumes), and for 2021, we sourced renewable energy to be 100 percent compliant with the re100 technical criteria.","['natural resources', 'corporate compliance', 'emissions', 'diversity and inclusion', 'board accountability', 'pollution', 'transparancy', 'philanthropy', 'health and safety', 'training and education']","[0.3176291902446939, 0.2787111752646918, 0.26988757503419214, 0.06201007065263075, 0.02980303006395862, 0.01852497380207754, 0.014968880770310783, 0.004063031167427173, 0.003734716788618043, 0.0006673562113992615]","['E', 'G', 'E', 'S', 'G', 'E', 'G', 'S', 'S', 'S']"
"6 scope 3 emissions as with many companies, the majority of airbnbs corporate emissions are scope 3 and largely attributable to our work with suppliers.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'health and safety', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.32280804753787296, 0.30283136070287925, 0.10455671745856972, 0.10410742440512877, 0.06654584711234927, 0.03998072647809058, 0.03140148489477399, 0.024011315371132342, 0.002143166945527661, 0.0016139090936754079]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
"we are partnering closely with teams across the business and external experts, including the environmental  defense fund and watershed, to identify opportunities to reduce our scope 3 emissions intensity.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'philanthropy', 'health and safety', 'training and education']","[0.2890631788898318, 0.2668786149284174, 0.1837317335034873, 0.12416054211069076, 0.07870509787596754, 0.0350153334125195, 0.008533550030053164, 0.008345983668406566, 0.004202412610746797, 0.0013635529698792148]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"some examples of the steps we have taken, or are taking, include:   launched the airbnb supplier sustainability program.","['corporate compliance', 'natural resources', 'emissions', 'transparancy', 'philanthropy', 'board accountability', 'diversity and inclusion', 'pollution', 'health and safety', 'training and education']","[0.3379100504962875, 0.14217916408596368, 0.11416429313316888, 0.10284933262872545, 0.09730911398740137, 0.08283660429121391, 0.07643358623691271, 0.026001836202352864, 0.011114040564088268, 0.009201978373885365]","['G', 'E', 'E', 'G', 'S', 'G', 'S', 'E', 'S', 'S']"
"with this program, were engaging suppliers to drive down their emissions.","['emissions', 'pollution', 'corporate compliance', 'natural resources', 'transparancy', 'health and safety', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.24537741921530046, 0.22791665087671859, 0.22302899555667816, 0.15201622357969533, 0.08211225997566539, 0.048468226379994844, 0.01773997611360748, 0.0017929194851410036, 0.001213269247783005, 0.0003340595694157521]","['E', 'E', 'G', 'E', 'G', 'S', 'G', 'S', 'S', 'S']"
"the program will ask suppliers, beginning with some of our largest, to commit to measuring and reporting their ghg emissions and implementing or maintaining emissions reduction plans.","['emissions', 'corporate compliance', 'pollution', 'natural resources', 'board accountability', 'transparancy', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.2354320985120655, 0.22934844131853527, 0.22893263770992167, 0.17543483911647614, 0.05789387664035189, 0.03257464458876319, 0.025440713271911213, 0.01103143118643886, 0.002029424120214695, 0.0018818935353215273]","['E', 'G', 'E', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
this will help us address the largest source of our scope 3 corporate emissions.,"['emissions', 'pollution', 'transparancy', 'corporate compliance', 'natural resources', 'board accountability', 'health and safety', 'philanthropy', 'diversity and inclusion', 'training and education']","[0.36134325958561603, 0.35059618262291037, 0.11433948695157341, 0.0935324609698746, 0.03755479513096375, 0.021706620398190882, 0.015368187845088992, 0.002921047544709094, 0.002190834673306273, 0.00044712427776663014]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
consolidating our cloud computing footprint towards cloud service providers with stronger  environmental performance.,"['emissions', 'natural resources', 'transparancy', 'pollution', 'corporate compliance', 'health and safety', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.33359806919109397, 0.27513620172112896, 0.23022419830685115, 0.08659323685840094, 0.04605720374071689, 0.01908995001480414, 0.004406431039547411, 0.0042845887380615925, 0.00045515412891390243, 0.0001549662604810653]","['E', 'E', 'G', 'E', 'G', 'S', 'G', 'S', 'S', 'S']"
"launched our new live and work anywhere approach, which we expect to help drive emissions reductions as employees who choose to continue working from home can eliminate their commutes.","['emissions', 'pollution', 'transparancy', 'natural resources', 'diversity and inclusion', 'corporate compliance', 'health and safety', 'board accountability', 'philanthropy', 'training and education']","[0.2646743109931436, 0.24913954548704215, 0.19374637072838718, 0.18527366489382788, 0.041432693703333995, 0.033218912911764965, 0.020927115770389332, 0.008162521648729262, 0.003019475667817382, 0.0004053881955642724]","['E', 'E', 'G', 'E', 'S', 'G', 'S', 'G', 'S', 'S']"
"we also introduced a revamped approach to employee travel, including a new travel policy and travel  limits, and we continue exploring ways to further reduce emissions associated with employee business travel.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3405113887710194, 0.26673321528377136, 0.1398280800027088, 0.08181041292983215, 0.07147009840467351, 0.06904063155087975, 0.02166329938784157, 0.0061696781749893265, 0.0023919475267670715, 0.00038124796751707885]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"expanded our renewable energy procurement beyond our offices to include estimated work-from- home electricity usage for our global employee base, as many employees now work from home.","['natural resources', 'emissions', 'transparancy', 'corporate compliance', 'diversity and inclusion', 'board accountability', 'pollution', 'philanthropy', 'health and safety', 'training and education']","[0.27397294734462, 0.21703453195695227, 0.16093868799877173, 0.133248347682574, 0.10861105732093804, 0.043661038691535, 0.034227990334977185, 0.016346775042929328, 0.010351574283289465, 0.0016070493434129946]","['E', 'E', 'G', 'G', 'S', 'G', 'E', 'S', 'S', 'S']"
we are addressing these emissions even though renewable energy purchased for these initiatives is not able to be reflected as scope 3 emissions reductions under ghg protocol guidance.,"['emissions', 'pollution', 'transparancy', 'corporate compliance', 'natural resources', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.2796984186479281, 0.26960264089332386, 0.18369699479384496, 0.08919458703371064, 0.08862161053301727, 0.06868951891872377, 0.008988194909078222, 0.008614452000930303, 0.002665171033578715, 0.00022841123586413265]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
