sentence,labels,scores,ESG
it is incumbent on all of us to play our part in mitigating the  impact of human activity on it.,"['emissions', 'natural resources', 'pollution', 'health and safety', 'transparancy', 'diversity and inclusion', 'training and education', 'board accountability', 'philanthropy', 'corporate compliance']","[0.22657882162434728, 0.21306398668984966, 0.18094789357153934, 0.1725879584191236, 0.13212371271168705, 0.026532528702491193, 0.016359712571292328, 0.015791850718858743, 0.012255829581604235, 0.0037577054092065706]","['E', 'E', 'E', 'S', 'G', 'S', 'S', 'G', 'S', 'G']"
"business as usual is not an option, and we at cern are actively investigating how we can continue to advance the frontiers of human knowledge while minimising the environmental footprint of our facilities and being a positive contributor of solutions.","['natural resources', 'emissions', 'pollution', 'transparancy', 'diversity and inclusion', 'board accountability', 'health and safety', 'corporate compliance', 'philanthropy', 'training and education']","[0.2895466103141474, 0.26875682520853955, 0.189668379962799, 0.13789422261781062, 0.04199469885006501, 0.029026846245214333, 0.016323130282184326, 0.010103936126165822, 0.00938586614757556, 0.007299484245498403]","['E', 'E', 'E', 'G', 'S', 'G', 'S', 'G', 'S', 'S']"
"fabiola gianotti, director-general despite the challenging backdrop of the continuing pandemic, the shutdown objectives were all accomplished, and the accelerators progressively came back to life in 20212022, culminating in the successful restart of cerns flagship project, the large hadron collider (lhc), in july 2022.","['transparancy', 'health and safety', 'board accountability', 'diversity and inclusion', 'emissions', 'corporate compliance', 'natural resources', 'pollution', 'philanthropy', 'training and education']","[0.26019381752141774, 0.24369600299422786, 0.22004754166750792, 0.11592999339309427, 0.08033776357193145, 0.03713015485527774, 0.021432105973284557, 0.009903776821957339, 0.0073432908689743245, 0.003985552332326779]","['G', 'S', 'G', 'S', 'E', 'G', 'E', 'E', 'S', 'S']"
the work carried out during the shutdown was designed to improve the performance of the accelerators and detectors and to improve their environmental credentials.,"['natural resources', 'emissions', 'health and safety', 'pollution', 'transparancy', 'corporate compliance', 'board accountability', 'training and education', 'diversity and inclusion', 'philanthropy']","[0.3782695766276412, 0.2345265341607927, 0.18096926205439637, 0.09668217573008199, 0.053532206328457704, 0.025260148322303805, 0.016392121837313582, 0.007129422546732452, 0.005846574126062039, 0.0013919782662181349]","['E', 'E', 'S', 'E', 'G', 'G', 'G', 'S', 'S', 'S']"
"the accelerator complex is now more efficient, delivering more data per unit of energy consumed.","['transparancy', 'natural resources', 'emissions', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'pollution', 'health and safety', 'training and education', 'philanthropy']","[0.5230577155999417, 0.3933873302190936, 0.026631532178285382, 0.021465370183780526, 0.01209163389884138, 0.008315336922539567, 0.004438806676406826, 0.004119487264690199, 0.004002841219273044, 0.0024899458371477074]","['G', 'E', 'E', 'S', 'G', 'G', 'E', 'S', 'S', 'S']"
the experiments invested much effort in repairing leaks in their gas systems and worked towards replacing the current gases with more environmentally friendly ones.,"['emissions', 'natural resources', 'pollution', 'transparancy', 'health and safety', 'board accountability', 'diversity and inclusion', 'philanthropy', 'corporate compliance', 'training and education']","[0.3045112862920135, 0.2994892512872765, 0.21965645435987147, 0.07302907119423581, 0.07129963216257446, 0.011699211603283521, 0.011053790261819433, 0.005327681107573793, 0.003660619690354037, 0.00027300204099746974]","['E', 'E', 'E', 'G', 'S', 'G', 'S', 'S', 'G', 'S']"
"this report also covers the new cern innovation  programme on environmental applications (cipea), which was launched in march 2022 and is funding its first eight projects.","['natural resources', 'emissions', 'pollution', 'transparancy', 'philanthropy', 'diversity and inclusion', 'board accountability', 'training and education', 'corporate compliance', 'health and safety']","[0.6361298626696995, 0.2480340669576863, 0.0836312761158323, 0.018180127114567266, 0.0045723500730908365, 0.004472491023451865, 0.003726824215415996, 0.0006343879171481348, 0.00035995043321556487, 0.0002586634798922192]","['E', 'E', 'E', 'G', 'S', 'S', 'G', 'S', 'G', 'S']"
"we include, for the first time, data on the scope 3 greenhouse gas emissions arising from procurement.","['emissions', 'pollution', 'natural resources', 'transparancy', 'board accountability', 'corporate compliance', 'diversity and inclusion', 'philanthropy', 'health and safety', 'training and education']","[0.4389825640565747, 0.42243843569992684, 0.053959762109384996, 0.04905275971707361, 0.015448099265397768, 0.014106138997064697, 0.0050880679794242595, 0.0005958814229726698, 0.0002536112401069688, 7.467951207348208e-05]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"over the years since we embarked on our first environment  report, we have learned a great deal about our footprint, implemented mechanisms to better understand and control it and increased our efforts to identify and develop technologies stemming from our core research that have the potential to benefit the environment.","['emissions', 'natural resources', 'pollution', 'transparancy', 'board accountability', 'training and education', 'corporate compliance', 'diversity and inclusion', 'philanthropy', 'health and safety']","[0.3867232749893147, 0.3773362082304138, 0.2129399167386007, 0.00840394022694607, 0.006655898366244057, 0.005190264740543846, 0.001130218754696755, 0.0008154412005507109, 0.0006891566757437431, 0.00011568007694564192]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
"although there is still some way to go, we have made considerable progress, which i encourage you to explore in this report.","['diversity and inclusion', 'transparancy', 'natural resources', 'corporate compliance', 'emissions', 'board accountability', 'training and education', 'philanthropy', 'health and safety', 'pollution']","[0.2804556583241142, 0.17498489221731975, 0.16907905700154896, 0.07847251430459777, 0.06695788570502482, 0.061687025131756244, 0.0597029169215521, 0.059421595498648415, 0.04082515774964077, 0.008413297145797029]","['S', 'G', 'E', 'G', 'E', 'G', 'S', 'S', 'S', 'E']"
20212022  this reporting period saw the completion of the second long shutdown and the restart of the accelerator complex (run 3) with a view to reaching the new collision energy of 13.6 tev at the large hadron collider (lhc).,"['transparancy', 'board accountability', 'diversity and inclusion', 'emissions', 'health and safety', 'corporate compliance', 'natural resources', 'pollution', 'philanthropy', 'training and education']","[0.6654963499057489, 0.14134599091295305, 0.07267147005076814, 0.0443710898223778, 0.02354269538709032, 0.019352589720011946, 0.013356989397317, 0.010589456210927113, 0.0056261097842877075, 0.003647258808518016]","['G', 'G', 'S', 'E', 'S', 'G', 'E', 'E', 'S', 'S']"
"in some domains environmental indicators may be very different during shutdown years compared to operation years, so they are shown for both years to highlight this, where relevant.","['natural resources', 'transparancy', 'diversity and inclusion', 'pollution', 'emissions', 'health and safety', 'board accountability', 'corporate compliance', 'philanthropy', 'training and education']","[0.627380068303141, 0.1620494935766258, 0.08575777513618617, 0.05453748728877414, 0.038180207395718715, 0.01870556633383588, 0.008696070414851641, 0.00357260786176494, 0.0006469188043268736, 0.0004738048847748496]","['E', 'G', 'S', 'E', 'E', 'S', 'G', 'G', 'S', 'S']"
"1215 gwh the laboratory is committed to limiting rises in electricity consumption to 5% up to the end of run 3 compared to the 2018 baseline year, which corresponds to a maximum target of 1314 gwh, while delivering significantly increased performance of its facilities.","['natural resources', 'emissions', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'pollution', 'health and safety', 'philanthropy', 'training and education']","[0.23342098816135454, 0.20087401010574496, 0.19712828091149823, 0.14453351526013614, 0.14264835410237667, 0.027704469213293982, 0.023292287804928237, 0.019413673497089657, 0.007850485403500404, 0.00313393554007722]","['E', 'E', 'G', 'G', 'G', 'S', 'E', 'S', 'S', 'S']"
it is also committed to increasing energy reuse.,"['natural resources', 'transparancy', 'emissions', 'corporate compliance', 'board accountability', 'pollution', 'diversity and inclusion', 'philanthropy', 'health and safety', 'training and education']","[0.40482421556135184, 0.36917755305965994, 0.0976156761878163, 0.06300740762812182, 0.021624845721216306, 0.015833516459946, 0.012554750971844489, 0.012553063290896695, 0.001646685950084566, 0.0011622851690620138]","['E', 'G', 'E', 'G', 'G', 'E', 'S', 'S', 'S', 'S']"
"in 2021 and 2022, cern consumed 991 gwh and 1215 gwh of electricity respectively.","['natural resources', 'emissions', 'transparancy', 'corporate compliance', 'diversity and inclusion', 'board accountability', 'pollution', 'health and safety', 'philanthropy', 'training and education']","[0.337628374943482, 0.27900003570216264, 0.19594648919831698, 0.05351127695912203, 0.05321171442125026, 0.03781169560378098, 0.02649362193919706, 0.011532401179365711, 0.0026713523554160357, 0.00219303769790631]","['E', 'E', 'G', 'G', 'S', 'G', 'E', 'S', 'S', 'S']"
"8 environmental projects in 2022, cern launched the innovation programme on environmental applications (cipea), which spans four focus areas where cerns know-how can be of use, namely renewable and low-carbon energy; clean transportation and future mobility; climate change and pollution control; and sustainability and green science.","['natural resources', 'emissions', 'pollution', 'transparancy', 'diversity and inclusion', 'board accountability', 'training and education', 'corporate compliance', 'philanthropy', 'health and safety']","[0.4087393428098054, 0.3050498156444961, 0.18974360679207308, 0.0724076014082995, 0.010649422476871739, 0.005934725656568593, 0.0029559801228957916, 0.00208732269314798, 0.0017105919070644307, 0.0007215904887773411]","['E', 'E', 'E', 'G', 'S', 'G', 'S', 'G', 'S', 'S']"
< 0.01 msv the european annual dose limit for public exposure to artificial sources is 1 msv.,"['pollution', 'health and safety', 'emissions', 'natural resources', 'transparancy', 'diversity and inclusion', 'board accountability', 'training and education', 'corporate compliance', 'philanthropy']","[0.28452418764955295, 0.26726475466475663, 0.242643266612499, 0.08598587225538189, 0.07238702865790758, 0.018814103530610752, 0.013109081653066002, 0.006625791912009814, 0.004655056376384903, 0.003990856687830482]","['E', 'S', 'E', 'E', 'G', 'S', 'G', 'S', 'G', 'S']"
cern is committed to keeping its contribution to no more than 0.3 msv per year.,"['emissions', 'corporate compliance', 'philanthropy', 'natural resources', 'pollution', 'board accountability', 'transparancy', 'health and safety', 'diversity and inclusion', 'training and education']","[0.20181751028512607, 0.16070652191368204, 0.12501573867914592, 0.12175165550725661, 0.11800262143898102, 0.09027073253495613, 0.0884507935399517, 0.05093135657519717, 0.03377477634293316, 0.00927829318277015]","['E', 'G', 'S', 'E', 'E', 'G', 'G', 'S', 'S', 'S']"
45 dba at night cern is committed to restricting noise at its site perimeters to 70 dba during the day and 60 dba at night.,"['corporate compliance', 'board accountability', 'health and safety', 'pollution', 'natural resources', 'transparancy', 'emissions', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.24009052574062567, 0.19675195596298536, 0.19553074684597363, 0.10865697575366057, 0.08191733845335196, 0.06965521205029528, 0.06714512876992033, 0.026846766092808425, 0.007215963680822142, 0.006189386649556635]","['G', 'G', 'S', 'E', 'E', 'G', 'E', 'S', 'S', 'S']"
"over this reporting period, cern implemented  measures to improve its noise management, including the installation of an online real-time monitoring system at point 2 of the lhc and point 4 of the sps.","['corporate compliance', 'pollution', 'health and safety', 'natural resources', 'emissions', 'board accountability', 'transparancy', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.38141516016749544, 0.255035450005737, 0.14174829070367148, 0.10873173971411759, 0.04727117435894467, 0.033502766236466, 0.02233826806691941, 0.008087503330256504, 0.0011856624334982073, 0.0006839849828936914]","['G', 'E', 'S', 'E', 'E', 'G', 'G', 'S', 'S', 'S']"
69% recycled cerns aim has been to increase its recycling rate for non-hazardous waste.,"['natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'training and education', 'philanthropy', 'diversity and inclusion', 'pollution', 'health and safety', 'emissions']","[0.3767316224728933, 0.32581439487178904, 0.17131243549901054, 0.042788371294330885, 0.025154721288165226, 0.024520450962233115, 0.019909275619115794, 0.007988068090991582, 0.004770856241231379, 0.0010098036602391321]","['E', 'G', 'G', 'G', 'S', 'S', 'S', 'E', 'S', 'E']"
the recycling rate rose from 56% in 2018 to 69% in 2022. .,"['natural resources', 'corporate compliance', 'transparancy', 'pollution', 'diversity and inclusion', 'board accountability', 'health and safety', 'training and education', 'philanthropy', 'emissions']","[0.6266148910213908, 0.12803652166534976, 0.11397504336081664, 0.04840489542844196, 0.031633575451417185, 0.029190184779182827, 0.009845178424135377, 0.005102301877237181, 0.003898380079364207, 0.003299027912664051]","['E', 'G', 'G', 'E', 'S', 'G', 'S', 'S', 'S', 'E']"
"184 173 tco2e  cerns objective is to reduce direct emissions by 28% by the end of run 3 compared to the 2018 baseline year, which corresponds to a maximum target of 138 300 tco2e.","['emissions', 'pollution', 'corporate compliance', 'natural resources', 'transparancy', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.337973956920459, 0.3095876083526131, 0.1611370730050034, 0.07022033486934837, 0.05894802223027527, 0.053052085484070886, 0.004333371870728935, 0.0031674932143966735, 0.0012127760881003081, 0.00036727796500406765]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
the scope 1 emissions in 2021 and 2022 were 123 174 and 184 173 tonnes of co2 equivalent (tco2e) respectively.,"['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.35505097728887425, 0.34963302594057266, 0.2215532292264315, 0.029329004153523366, 0.019614731221905064, 0.018015850473621132, 0.00421460519544985, 0.0020541564633330075, 0.00032084528074556725, 0.00021357475554362464]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
the total amount of scope 2 greenhouse gas  emissions due to cern's electricity consumption was 56 382 and 63 161 tco2e in 2021 and 2022 respectively.,"['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.3822191559037465, 0.37252217552648786, 0.1694778911938257, 0.028373806499071084, 0.024893255417363497, 0.016898929189838718, 0.0038109466605789673, 0.0012155976986411314, 0.00040408863863818816, 0.00018415327180836135]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"total scope 3 emissions arising from business travel,  personnel commuting, catering, waste treatment and water purification amounted to 7813 and 8956 tco2e in 2021 and 2022 respectively.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'board accountability', 'transparancy', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.4223736118567226, 0.36192894832416106, 0.08515027104897765, 0.07307612841626618, 0.030276192804636212, 0.01671456009980951, 0.006843606247268939, 0.0035230323541293167, 6.967694994691241e-05, 4.397189808160016e-05]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"the laboratory is committed to keeping the  increase in its water consumption below 5% up to the end of run 3 compared to the 2018 baseline year, which corresponds to a maximum target of 3651 ml, despite a growing demand for water cooling at the upgraded facilities.","['natural resources', 'corporate compliance', 'board accountability', 'transparancy', 'health and safety', 'diversity and inclusion', 'pollution', 'philanthropy', 'emissions', 'training and education']","[0.3517829620178846, 0.24439524856128458, 0.13165097573486745, 0.09553262368700262, 0.08477576068693428, 0.04113461629007963, 0.03229922007487342, 0.009510617962296537, 0.005151620386447829, 0.003766354598328991]","['E', 'G', 'G', 'G', 'S', 'S', 'E', 'S', 'E', 'S']"
"in 2021 and 2022, cern used 2661 and 3234 megalitres of water respectively.","['natural resources', 'pollution', 'transparancy', 'corporate compliance', 'health and safety', 'board accountability', 'diversity and inclusion', 'emissions', 'philanthropy', 'training and education']","[0.47457988892809116, 0.1584776191013781, 0.11866890737483571, 0.06567673726385381, 0.06178040748299827, 0.042586604753726165, 0.03816112783217299, 0.029970899684495927, 0.006689227488622711, 0.0034085800898251764]","['E', 'E', 'G', 'G', 'S', 'G', 'S', 'E', 'S', 'S']"
"cern is an intergovernmental organisation headquartered in meyrin, in the canton of geneva, switzerland, and has two main campuses: the original meyrin site, which straddles the french-swiss border, and the prvessin site in france.","['training and education', 'diversity and inclusion', 'natural resources', 'transparancy', 'board accountability', 'emissions', 'corporate compliance', 'health and safety', 'pollution', 'philanthropy']","[0.22378349185323657, 0.21065432242883378, 0.18310963909938227, 0.1255752753888941, 0.08826107179259682, 0.07868444979864246, 0.034167093871788824, 0.032651444302773974, 0.01214616633536574, 0.010967045128485465]","['S', 'S', 'E', 'G', 'G', 'E', 'G', 'S', 'E', 'S']"
"it also has several smaller sites in both countries, located  around the large hadron collider (lhc) and the super proton synchrotron (sps).","['diversity and inclusion', 'transparancy', 'natural resources', 'board accountability', 'emissions', 'health and safety', 'pollution', 'corporate compliance', 'philanthropy', 'training and education']","[0.4535212683236034, 0.19640196048272932, 0.17548803702306232, 0.05666760292774099, 0.05182257757313964, 0.03376553015241871, 0.015577664972754158, 0.0070233365541135725, 0.006358549741809999, 0.0033734722486278993]","['S', 'G', 'E', 'G', 'E', 'S', 'E', 'G', 'S', 'S']"
"cooperation between nations, universities and scientists is the driving force behind cerns research.","['transparancy', 'diversity and inclusion', 'natural resources', 'emissions', 'training and education', 'health and safety', 'board accountability', 'pollution', 'philanthropy', 'corporate compliance']","[0.4383454196577315, 0.22145740422761728, 0.1777269230695807, 0.05074757522698628, 0.0418199283596801, 0.03876473910199953, 0.019692004929323652, 0.007788698700141254, 0.003070575492147427, 0.0005867312347922508]","['G', 'S', 'E', 'E', 'S', 'S', 'G', 'E', 'S', 'G']"
more than 16 000 people from around the world work  together at cern to push back the frontiers of science and technology.,"['diversity and inclusion', 'transparancy', 'board accountability', 'philanthropy', 'emissions', 'natural resources', 'training and education', 'pollution', 'health and safety', 'corporate compliance']","[0.46920479071951127, 0.3743148996099149, 0.05125664591541447, 0.039365006449416505, 0.028205203892559885, 0.017689540215616317, 0.010304020056842823, 0.005763760183032514, 0.002909371864967862, 0.0009867610927235286]","['S', 'G', 'G', 'S', 'E', 'E', 'S', 'E', 'S', 'G']"
