sentence,labels,scores,ESG
ls2 was also an occasion for maintenance and upgrades  of our experiments.,"['transparancy', 'natural resources', 'health and safety', 'emissions', 'diversity and inclusion', 'board accountability', 'corporate compliance', 'pollution', 'philanthropy', 'training and education']","[0.36575336126716573, 0.33440047669825285, 0.10281433789904054, 0.0682154123054466, 0.041951585027808415, 0.03998463700394659, 0.01763060534927385, 0.01326475045225768, 0.008424375235917304, 0.007560458760890432]","['G', 'E', 'S', 'E', 'S', 'G', 'G', 'E', 'S', 'S']"
"in our last environment report, we undertook to reduce scope 1 emissions of greenhouse gases by 28% by 2024.","['emissions', 'pollution', 'natural resources', 'transparancy', 'board accountability', 'corporate compliance', 'diversity and inclusion', 'philanthropy', 'health and safety', 'training and education']","[0.43080141685590567, 0.408779523007632, 0.07736197910990143, 0.032946765110937984, 0.028578312072340177, 0.018760147899775034, 0.002156720240020616, 0.0003585181043857836, 0.00014278661757027394, 0.00011383098153108726]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"although the pandemic prevented us from advancing as much as we had planned, we were able to start installing new cooling systems for major particle detectors to replace high-global-warming-potential gases with more environment-friendly ones.","['emissions', 'pollution', 'natural resources', 'transparancy', 'health and safety', 'board accountability', 'diversity and inclusion', 'philanthropy', 'corporate compliance', 'training and education']","[0.3151432114944962, 0.29322667754389586, 0.20122753669517776, 0.09609051682017597, 0.06928049273285447, 0.012491988053667757, 0.007676608853571787, 0.0028087107291134682, 0.0018715167068912117, 0.00018274037015553472]","['E', 'E', 'E', 'G', 'S', 'G', 'S', 'S', 'G', 'S']"
the experiments have also been repairing leaks in their gas-based detectors and investigating environmentally friendly gas mixtures.,"['emissions', 'natural resources', 'pollution', 'health and safety', 'transparancy', 'diversity and inclusion', 'board accountability', 'corporate compliance', 'philanthropy', 'training and education']","[0.30258676691244474, 0.2869726485900169, 0.18741381569687954, 0.17723069888168572, 0.03539720802070485, 0.0050288632021298005, 0.0027528995175820537, 0.0016939459579819113, 0.0008478886016474433, 7.526461892706837e-05]","['E', 'E', 'E', 'S', 'G', 'S', 'G', 'G', 'S', 'S']"
"an important milestone in 2020 was the publication of an  update to the european strategy for particle physics, which puts environmental protection at the heart of particle physics in europe and of any future project at cern.","['natural resources', 'emissions', 'pollution', 'transparancy', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'corporate compliance', 'training and education']","[0.5447095495106614, 0.23584409928547223, 0.1607026797516982, 0.035730611407107114, 0.015432532742596114, 0.0045835688026618455, 0.001474254329136351, 0.0008250047284904461, 0.0003861732460991226, 0.0003115261960771737]","['E', 'E', 'E', 'G', 'G', 'S', 'S', 'S', 'G', 'S']"
it states: the environmental impact of particle physics activities should continue to be carefully studied and minimised.,"['emissions', 'pollution', 'natural resources', 'transparancy', 'board accountability', 'diversity and inclusion', 'corporate compliance', 'health and safety', 'philanthropy', 'training and education']","[0.5015182154990553, 0.31628727714945565, 0.1588008034973387, 0.021121473862681827, 0.001443451031463238, 0.0002725015298395691, 0.0002721347601995478, 0.0001860525776817381, 6.710385693162051e-05, 3.0986235352808536e-05]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
a detailed plan for the minimisation of environmental impact and for the saving and re-use of energy should be part of the approval process for any major project.,"['natural resources', 'emissions', 'pollution', 'board accountability', 'transparancy', 'corporate compliance', 'diversity and inclusion', 'philanthropy', 'training and education', 'health and safety']","[0.41866365802885863, 0.2594333940339796, 0.2315649282339623, 0.03716305662906243, 0.02949128784966393, 0.012964044785817294, 0.009628559012511662, 0.0006638507394398066, 0.00026432526790695876, 0.00016289541879740467]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
the production of cerns first public environment report in  2020 enabled us to establish reporting frameworks and set concrete goals.,"['natural resources', 'emissions', 'pollution', 'board accountability', 'diversity and inclusion', 'transparancy', 'corporate compliance', 'philanthropy', 'health and safety', 'training and education']","[0.5443098992072024, 0.18065373769215204, 0.1049079600123311, 0.061160962399792566, 0.03541307655949476, 0.03377391095632577, 0.03009786152640904, 0.003949331804461297, 0.003919112081412437, 0.0018141477604185247]","['E', 'E', 'E', 'G', 'S', 'G', 'G', 'S', 'S', 'S']"
this second report is about turning words into action.,"['transparancy', 'training and education', 'board accountability', 'corporate compliance', 'diversity and inclusion', 'health and safety', 'philanthropy', 'emissions', 'natural resources', 'pollution']","[0.26372820395427216, 0.22055596374460712, 0.1939803691391804, 0.15485824899602257, 0.12085827016562778, 0.025468467762679255, 0.014252246290829681, 0.005153554396703098, 0.0009034079022439448, 0.00024126764783402002]","['G', 'S', 'G', 'G', 'S', 'S', 'S', 'E', 'E', 'E']"
"over the 2019-2020 period, initial objectives identified by the cern environmental protection steering board (ceps) were formalised, financed and implemented  one example being the construction of a retention basin for the prvessin site to protect local watercourses from accidental pollution and to mitigate the consequences of extremely heavy rainfall.","['natural resources', 'pollution', 'board accountability', 'transparancy', 'diversity and inclusion', 'corporate compliance', 'emissions', 'philanthropy', 'health and safety', 'training and education']","[0.4690442332473894, 0.32849498346940964, 0.145117628445988, 0.025315239832917016, 0.014113673223170246, 0.009336471955403812, 0.004522582271959891, 0.0024162171732949747, 0.0014706989480078839, 0.0001682714324591406]","['E', 'E', 'G', 'G', 'S', 'G', 'E', 'S', 'S', 'S']"
"in this document, we report on our scope 3 emissions for  the first time, presenting data relating to business travel, personnel commutes, catering, waste treatment and water purification.","['emissions', 'pollution', 'corporate compliance', 'natural resources', 'board accountability', 'transparancy', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.46745730830450966, 0.24668906897862106, 0.11179055448345616, 0.0758293920705443, 0.050160178348495885, 0.025423130117563343, 0.020353779539101072, 0.0021013963617130577, 0.0001425160024586063, 5.267579353689167e-05]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
procurement is expected to constitute the largest part of the organizations scope 3 emissions.,"['emissions', 'pollution', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'natural resources', 'health and safety', 'philanthropy', 'training and education']","[0.4290344974803461, 0.32704872409571434, 0.17952206701379492, 0.023119313909622432, 0.016353317386695144, 0.013842384016227059, 0.0060952909516193594, 0.004834549837454365, 0.00011288266157424261, 3.697264695198824e-05]","['E', 'E', 'G', 'G', 'G', 'S', 'E', 'S', 'S', 'S']"
"a procedure for evaluating scope 3 emissions due to  procurement, along with a project to assess how to green cern's procurement, are in preparation.","['emissions', 'pollution', 'corporate compliance', 'natural resources', 'board accountability', 'transparancy', 'health and safety', 'diversity and inclusion', 'training and education', 'philanthropy']","[0.38670430103635306, 0.3051206858012415, 0.15221079352578837, 0.11278949952795303, 0.019585786777314387, 0.010082312162143192, 0.0071883854971595594, 0.0049873345437282095, 0.0006911288716902271, 0.0006397722566284382]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
this will be covered in a future report.,"['natural resources', 'corporate compliance', 'diversity and inclusion', 'transparancy', 'emissions', 'health and safety', 'board accountability', 'training and education', 'pollution', 'philanthropy']","[0.3852729965796018, 0.12604368872734834, 0.09695878895567758, 0.09147110319713404, 0.06932200960406366, 0.06802965573087481, 0.05725968973587071, 0.04732643357444758, 0.037198461895797924, 0.02111717199918357]","['E', 'G', 'S', 'G', 'E', 'S', 'G', 'S', 'E', 'S']"
this represents an important step in understanding and controlling our overall emissions.,"['emissions', 'pollution', 'health and safety', 'transparancy', 'board accountability', 'corporate compliance', 'natural resources', 'training and education', 'diversity and inclusion', 'philanthropy']","[0.36199308807135555, 0.35052252000204914, 0.1310376564728152, 0.1137501966493515, 0.0273932257163878, 0.010222703452380012, 0.00246453852711099, 0.0022714682866894187, 0.0002387772657921373, 0.00010582555606822572]","['E', 'E', 'S', 'G', 'G', 'G', 'E', 'S', 'S', 'S']"
"at cern, we aspire to contribute to the achievement  of some of the environment-related un sustainable development goals (sdgs) by improving our performance and forging partnerships with others.","['natural resources', 'transparancy', 'emissions', 'pollution', 'board accountability', 'corporate compliance', 'philanthropy', 'diversity and inclusion', 'training and education', 'health and safety']","[0.6334338176053462, 0.1558458134408294, 0.10097796261978834, 0.06461222220791608, 0.03499607851369143, 0.004395742218653641, 0.0025454569872076387, 0.0024971217237043054, 0.00046312367565335197, 0.00023266100720955264]","['E', 'G', 'E', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
"among the goals we have identified as areas where cern can make an active contribution are affordable and clean energy (sdg 7) and industry, innovation and infrastructure (sdg 9).","['emissions', 'philanthropy', 'natural resources', 'transparancy', 'pollution', 'board accountability', 'corporate compliance', 'diversity and inclusion', 'health and safety', 'training and education']","[0.531125694362417, 0.2026905804568587, 0.10043148571937237, 0.07073433334762579, 0.037977048074206855, 0.031697652888411455, 0.011889651009440255, 0.01009357057802272, 0.0026258328163922015, 0.0007341507472527447]","['E', 'S', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S']"
"we are actively working on new technologies, such as  superconducting power transmission lines, that could make a significant contribution to achieving these goals.","['transparancy', 'emissions', 'diversity and inclusion', 'health and safety', 'natural resources', 'philanthropy', 'board accountability', 'corporate compliance', 'pollution', 'training and education']","[0.3629618255079313, 0.1899588688804074, 0.14701317581518022, 0.13462689822232746, 0.08843053326804294, 0.026805068139705533, 0.021401373382266223, 0.015836482772441696, 0.010615914439696873, 0.0023498595720003795]","['G', 'E', 'S', 'S', 'E', 'S', 'G', 'G', 'E', 'S']"
"due to the covid-19 pandemic, cerns way of working  changed dramatically over the period covered by this report, with most personnel working from home and our usually highly mobile user community unable to travel to cern.","['health and safety', 'transparancy', 'diversity and inclusion', 'board accountability', 'emissions', 'pollution', 'corporate compliance', 'natural resources', 'philanthropy', 'training and education']","[0.7530867898082992, 0.1089982664287279, 0.06903479542959297, 0.03975074622731042, 0.01894345337440444, 0.002991385912562237, 0.0028472554334514582, 0.0018685177772308022, 0.0016108250957627159, 0.0008679645126577956]","['S', 'G', 'S', 'G', 'E', 'E', 'G', 'E', 'S', 'S']"
"while everyone is looking forward to the end of the pandemic, the positive environmental benefits of less travel and traffic will feed into new methods of working for the long term.","['natural resources', 'emissions', 'pollution', 'health and safety', 'transparancy', 'diversity and inclusion', 'board accountability', 'philanthropy', 'training and education', 'corporate compliance']","[0.29266897541431214, 0.26564868020947185, 0.19003185629995142, 0.1494308428916614, 0.08356818511733402, 0.008070716923601893, 0.006154997113456265, 0.0022426296608427394, 0.0011722030757715558, 0.001010913293596685]","['E', 'E', 'E', 'S', 'G', 'S', 'G', 'S', 'S', 'G']"
cern is fully committed to environmental protection and  transparent reporting.,"['natural resources', 'transparancy', 'pollution', 'emissions', 'corporate compliance', 'health and safety', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.21465484173471927, 0.1959315953145656, 0.16366885828116343, 0.14756460989257536, 0.12489815907070222, 0.11424446010114464, 0.037557604990430093, 0.0006784588071231055, 0.0006014419820812719, 0.00019996982549500618]","['E', 'G', 'E', 'E', 'G', 'S', 'G', 'S', 'S', 'S']"
it is also committed to developing technologies that could help society to improve the health of the planet.,"['health and safety', 'philanthropy', 'natural resources', 'transparancy', 'emissions', 'pollution', 'diversity and inclusion', 'board accountability', 'corporate compliance', 'training and education']","[0.31427383301240064, 0.3047359095071398, 0.16797215457607748, 0.12343523213727255, 0.03344368625861295, 0.01974474283774517, 0.018106868438130454, 0.016992250620446982, 0.0006496575118537194, 0.0006456651003202757]","['S', 'S', 'E', 'G', 'E', 'E', 'S', 'G', 'G', 'S']"
"this document provides a record of our performance, describes our objectives for improvement and reflects a proactive approach to environmental protection across the laboratory and among cerns worldwide scientific community.","['natural resources', 'health and safety', 'board accountability', 'transparancy', 'pollution', 'corporate compliance', 'emissions', 'diversity and inclusion', 'training and education', 'philanthropy']","[0.2642706722978382, 0.2569182270073493, 0.13710820220892977, 0.13526399503491146, 0.07492612359667594, 0.06813921254603834, 0.06164411191135358, 0.0015598806437561433, 8.916559920315155e-05, 8.040915394414183e-05]","['E', 'S', 'G', 'G', 'E', 'G', 'E', 'S', 'S', 'S']"
"that the environment is a cern priority has been clear since we committed to public reporting, and this has been consolidated since the publication of our first report last year.","['natural resources', 'pollution', 'emissions', 'board accountability', 'transparancy', 'corporate compliance', 'health and safety', 'philanthropy', 'diversity and inclusion', 'training and education']","[0.5993015619791523, 0.20031465383207891, 0.15774097939180184, 0.014442238781942403, 0.014072147295562396, 0.010447109916872695, 0.0021940333423898666, 0.0013077396636368695, 0.00012981160357226763, 4.972419299043205e-05]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"in particular, a materiality analysis helped us to identify and prioritise goals for improvement.","['diversity and inclusion', 'corporate compliance', 'transparancy', 'board accountability', 'natural resources', 'emissions', 'training and education', 'health and safety', 'philanthropy', 'pollution']","[0.22624156472856982, 0.19389755001666298, 0.16488741717394398, 0.11823955683486333, 0.08624822327353947, 0.07392773182026949, 0.07052899137612266, 0.030440799399240534, 0.02302998873314163, 0.01255817664364611]","['S', 'G', 'G', 'G', 'E', 'E', 'S', 'S', 'S', 'E']"
"it is an exercise that we will revisit regularly, ensuring that protecting the environment remains at the heart of cerns decision making and all aspects of everyday life at the laboratory.","['natural resources', 'board accountability', 'pollution', 'emissions', 'transparancy', 'health and safety', 'corporate compliance', 'training and education', 'philanthropy', 'diversity and inclusion']","[0.5646043912138893, 0.10942439911641845, 0.10609750074552186, 0.07723941431793553, 0.05954040658860977, 0.049448116642526976, 0.026603019755454437, 0.004669954179348502, 0.001191407834546482, 0.001181389605748749]","['E', 'G', 'E', 'E', 'G', 'S', 'G', 'S', 'S', 'S']"
"6 | cern environment report 2019 - 2020 | 7 energy 428 gwh in 2019, cern consumed 428 gwh of electricity and 68 gwh of fossil fuel.","['emissions', 'natural resources', 'pollution', 'transparancy', 'diversity and inclusion', 'board accountability', 'corporate compliance', 'health and safety', 'philanthropy', 'training and education']","[0.33544858668488364, 0.33493305681374197, 0.26380077717008366, 0.05386586142449907, 0.006187644613419655, 0.004533013776482895, 0.0006285383868897851, 0.00030704416187499027, 0.0002296496633553178, 6.582730476906928e-05]","['E', 'E', 'E', 'G', 'S', 'G', 'G', 'S', 'S', 'S']"
cerns electricity consumption du- ring the period was about 64% lower than when the ac- celerator complex is running.,"['natural resources', 'emissions', 'transparancy', 'pollution', 'diversity and inclusion', 'board accountability', 'corporate compliance', 'health and safety', 'philanthropy', 'training and education']","[0.3888374630091214, 0.3553231221361973, 0.15112836924223338, 0.043578479313161986, 0.022638070733431426, 0.01975180113129148, 0.009034961063354094, 0.005131036764991453, 0.003143623735784538, 0.0014330728704328723]","['E', 'E', 'G', 'E', 'S', 'G', 'G', 'S', 'S', 'S']"
"the laboratory is committed  to limiting rises in electric- ity consumption to 5% up to the end of 2024 (baseline year: 2018), while delivering significantly increased perfor- mance of its facilities.","['emissions', 'natural resources', 'corporate compliance', 'pollution', 'transparancy', 'health and safety', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.23764994662846342, 0.21085417268942613, 0.17405073257350298, 0.12784022996987346, 0.08964202016842253, 0.06513689043516549, 0.06301598355666349, 0.015147295604851235, 0.01304070444292288, 0.003622023930708367]","['E', 'E', 'G', 'E', 'G', 'S', 'G', 'S', 'S', 'S']"
cern is also committed to increase energy re-use.,"['natural resources', 'transparancy', 'emissions', 'corporate compliance', 'board accountability', 'pollution', 'diversity and inclusion', 'philanthropy', 'training and education', 'health and safety']","[0.2812182346828088, 0.2225817959865558, 0.2065370370839145, 0.18054746427681462, 0.0393756559960365, 0.026928411871820702, 0.019831036078982033, 0.01908139408068791, 0.0021256357066616323, 0.0017733342357174942]","['E', 'G', 'E', 'G', 'G', 'E', 'S', 'S', 'S', 'S']"
"emissions 78 169 tco2e in 2019, cerns direct greenhouse gas emissions (scope 1) were 78 169 tonnes of co2 equivalent (tco2e), which is less than half of the amount emitted annually over the period 2017-2018 when the accelerators were running.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.3525141022408341, 0.34968595046375295, 0.14148800579472692, 0.06917392129959482, 0.04508389331169553, 0.02785205501746165, 0.009614985241951356, 0.00266335227290237, 0.0014150907974038681, 0.0005086435596763905]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
indirect emissions arising from electricity  consumption (scope 2) were 10 672 tco2e.,"['emissions', 'pollution', 'natural resources', 'transparancy', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'health and safety', 'philanthropy', 'training and education']","[0.46920785176164054, 0.3909247036129738, 0.10523023860263776, 0.02077380896754151, 0.0052745284404837065, 0.003076944071466169, 0.0029499175393441165, 0.002123394825847974, 0.00033212601933780395, 0.00010648615872664143]","['E', 'E', 'E', 'G', 'S', 'G', 'G', 'S', 'S', 'S']"
"in addition, indirect emissions from water pu- rification, waste treatment, business travel, personnel commutes and catering (scope 3) were 12 098 tco2e.","['emissions', 'pollution', 'natural resources', 'board accountability', 'transparancy', 'health and safety', 'corporate compliance', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3277150039145457, 0.29393545527887277, 0.27711286097110793, 0.03127248889286381, 0.030366832148480807, 0.02034252028739106, 0.014501682044194969, 0.004448121509223761, 0.00025391820749311525, 5.11167458260546e-05]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
cerns immediate target is to reduce di- rect emissions by 28% by the end of 2024 (baseline year: 2018).,"['emissions', 'pollution', 'corporate compliance', 'natural resources', 'board accountability', 'transparancy', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3804272130726645, 0.3715454543339612, 0.10562480900426975, 0.0896631172802616, 0.033723792268295014, 0.015701557628269695, 0.0012432236587199485, 0.001026852964308486, 0.0009012476877319498, 0.00014273210151779703]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
"in 2019, cern drew 2006  megalitres (ml) of water, mostly from lake geneva.","['natural resources', 'pollution', 'diversity and inclusion', 'transparancy', 'emissions', 'health and safety', 'board accountability', 'corporate compliance', 'philanthropy', 'training and education']","[0.43791492423714123, 0.2202008927368906, 0.06742407178856584, 0.06585256079351554, 0.056479952071244295, 0.05463577626400959, 0.04167035461031617, 0.031637801127804586, 0.018575547838879304, 0.0056081185316328094]","['E', 'E', 'S', 'G', 'E', 'S', 'G', 'G', 'S', 'S']"
this is about 47% less than  in operational years.,"['transparancy', 'emissions', 'natural resources', 'diversity and inclusion', 'board accountability', 'pollution', 'health and safety', 'corporate compliance', 'philanthropy', 'training and education']","[0.4594457558027648, 0.17943175904185657, 0.12956653626096565, 0.0654539349219659, 0.048210723417926205, 0.041782547875378814, 0.0369913004378601, 0.03235505941629403, 0.004567279021420707, 0.0021951038035672066]","['G', 'E', 'E', 'S', 'G', 'E', 'S', 'G', 'S', 'S']"
"the laboratory is com- mitted to keeping its in- crease in water consump- tion below 5% up to the end of 2024 (baseline year: 2018), despite a growing demand for water cooling of upgraded facilities.","['natural resources', 'corporate compliance', 'emissions', 'pollution', 'board accountability', 'health and safety', 'transparancy', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3078794009097529, 0.16962293461743397, 0.130145355217408, 0.0958598522433835, 0.09308512995575785, 0.09102840340219401, 0.07308481314032475, 0.028780838727768394, 0.006279409081623487, 0.004233862704353132]","['E', 'G', 'E', 'E', 'G', 'S', 'G', 'S', 'S', 'S']"
"waste 57% recycled in 2019, cern eliminated 5589 tonnes of non-hazardous waste, of which 57% was recycled.","['natural resources', 'transparancy', 'pollution', 'corporate compliance', 'diversity and inclusion', 'board accountability', 'philanthropy', 'health and safety', 'emissions', 'training and education']","[0.3772910194668073, 0.21937379564492454, 0.16382226372244735, 0.09427042782094036, 0.04578113024347203, 0.04081209908684206, 0.030907908080261087, 0.011236535269234979, 0.011129054160521607, 0.0053757665045486795]","['E', 'G', 'E', 'G', 'S', 'G', 'S', 'S', 'E', 'S']"
the laboratory also eliminated 1868 tonnes of hazardous waste.,"['pollution', 'health and safety', 'natural resources', 'emissions', 'transparancy', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.31650817465456127, 0.22364996395753844, 0.20582532272792045, 0.1153537041416285, 0.09120825923307828, 0.017010907172125073, 0.012126419673330335, 0.011258591326929593, 0.006192478226002618, 0.0008661788868854459]","['E', 'S', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S']"
cerns objective is to increase  the current recycling rate.,"['natural resources', 'transparancy', 'corporate compliance', 'pollution', 'board accountability', 'emissions', 'philanthropy', 'diversity and inclusion', 'health and safety', 'training and education']","[0.8197303721903952, 0.07655480361970707, 0.053224872434540195, 0.03805807047831017, 0.006580379034204689, 0.0033867986829452796, 0.0008033446537260892, 0.0006515630095599788, 0.0006077708030422127, 0.0004020250935691249]","['E', 'G', 'G', 'E', 'G', 'E', 'S', 'S', 'S', 'S']"
"biodiversity 16 species of orchids in 2019, a new species of orchid was discovered on cerns sites, bringing the total to 16 species.","['diversity and inclusion', 'natural resources', 'transparancy', 'board accountability', 'philanthropy', 'health and safety', 'training and education', 'emissions', 'corporate compliance', 'pollution']","[0.5818966113571656, 0.3933700988569414, 0.02141563459137238, 0.002101916712406484, 0.0004924217925468856, 0.0002666329027264673, 0.0001434341205204011, 0.000122572513476576, 0.00011060662380101345, 8.007052904270172e-05]","['S', 'E', 'G', 'G', 'S', 'S', 'S', 'E', 'G', 'E']"
"during the period covered by this report, 2019-2020, cerns  accelerator complex was in its second long shutdown.","['natural resources', 'emissions', 'transparancy', 'corporate compliance', 'board accountability', 'health and safety', 'diversity and inclusion', 'pollution', 'philanthropy', 'training and education']","[0.6859650982471057, 0.07369623243958796, 0.07300846931862018, 0.04047687381896113, 0.03580602640599436, 0.03205181718514055, 0.02812661588761237, 0.020766093220167415, 0.005567801347924671, 0.004534972128885616]","['E', 'E', 'G', 'G', 'G', 'S', 'S', 'E', 'S', 'S']"
